id,num_words,avg_num_words_per_sentence,avg_num_syllables_per_word,dale_chall_readability_score,num_sentences,flesch_kincaid_grade,text_len,automated_readability_index,flesch_reading_ease,avg_words_len,avg_sentences_len,standard_error,target
c12129c31,179,16.272727272727273,1.2569832402234637,6.65,11,6.1,992,8.3,80.31,5.5418994413407825,90.18181818181819,0.46400904600000004,-0.340259125
85aa80a4c,169,11.266666666666667,1.3136094674556213,5.92,15,5.2,937,7.2,82.54,5.544378698224852,62.46666666666667,0.48080497,-0.31537234199999997
b69ac6792,166,15.090909090909092,1.2590361445783131,6.29,11,7.9,908,10.1,75.74,5.469879518072289,82.54545454545455,0.47667622600000004,-0.580117966
dd1000b26,164,32.8,1.1951219512195121,6.61,5,11.4,909,16.4,72.02,5.5426829268292686,181.8,0.450007142,-1.05401339
37c1b32fb,147,29.4,1.1564625850340136,1.57,5,10.0,723,11.8,75.47,4.918367346938775,144.6,0.510844957,0.24719744600000002
f9bf357fe,163,23.285714285714285,1.4171779141104295,7.5,7,11.5,919,14.1,60.79,5.638036809815951,131.28571428571428,0.48093649299999996,-0.861808583
eaf8e7355,173,21.625,1.4046242774566473,7.35,8,9.4,1024,12.7,66.47,5.91907514450867,128.0,0.476507368,-1.759061403
0a43a07f1,172,21.5,1.2790697674418605,6.51,8,9.3,927,11.6,71.89,5.3895348837209305,115.875,0.49811588100000004,-0.95232462
f7eff7419,163,16.3,1.2208588957055215,6.39,10,6.5,903,10.2,84.61,5.539877300613497,90.3,0.46371036200000004,-0.371640688
d96e6dbcd,192,24.0,1.2395833333333333,6.8,8,7.9,1026,11.1,80.96,5.34375,128.25,0.465899778,-1.238432225
c57b50918,186,37.2,1.4838709677419355,9.39,5,16.6,1105,20.5,42.18,5.940860215053763,221.0,0.553259513,-3.081337118
8d8a2667f,159,17.666666666666668,1.389937106918239,6.9,9,7.8,873,8.6,70.43,5.490566037735849,97.0,0.518351049,-2.145248365
a0d4cd896,189,27.0,1.3544973544973544,7.65,7,11.5,1084,14.4,60.99,5.735449735449736,154.85714285714286,0.494799321,-1.400318025
0963b8cf9,199,12.4375,1.2964824120603016,6.28,16,4.9,1081,6.1,83.36,5.432160804020101,67.5625,0.471694283,-0.495298635
587502a70,181,12.928571428571429,1.2265193370165746,5.43,14,4.5,967,6.6,89.99,5.342541436464089,69.07142857142857,0.491792885,0.24580570899999998
af79954c5,172,28.666666666666668,1.244186046511628,6.53,6,9.8,902,13.0,76.18,5.244186046511628,150.33333333333334,0.48151847600000003,-0.18818586399999998
7656dea91,179,14.916666666666666,1.2513966480446927,6.4,12,5.6,936,6.0,81.73,5.229050279329609,78.0,0.47056448100000003,-1.28603909
60ecc9777,177,88.5,1.192090395480226,9.01,2,33.1,914,42.5,15.49,5.163841807909605,457.0,0.49664517700000005,-0.617733261
057f69731,181,25.857142857142858,1.281767955801105,6.44,7,11.5,976,14.4,66.2,5.392265193370166,139.42857142857142,0.47702836,-1.126247781
5e7c0b55b,177,22.125,1.2768361581920904,6.52,8,8.4,957,10.5,74.42,5.406779661016949,119.625,0.496148262,-1.009999064
a9ebe5d33,155,25.833333333333332,1.206451612903226,1.99,6,8.6,790,10.8,79.13,5.096774193548387,131.66666666666666,0.510595335,0.281178362
47e98a5c8,182,60.666666666666664,1.2087912087912087,7.69,3,22.2,954,28.9,43.7,5.241758241758242,318.0,0.4840451,0.27820314100000004
7285ba024,197,24.625,1.1928934010152283,6.14,8,8.2,1021,10.6,80.35,5.182741116751269,127.625,0.485318409,-1.566220068
66f0a9ff1,162,27.0,1.4382716049382716,8.09,6,11.5,956,15.2,60.99,5.901234567901234,159.33333333333334,0.526078693,-2.3864848359999997
e4f3550b2,171,28.5,1.409356725146199,7.82,6,12.0,993,15.5,59.47,5.807017543859649,165.5,0.476218591,-1.483887001
e6181a3fb,157,22.428571428571427,1.3248407643312101,6.92,7,7.4,862,9.6,76.96,5.490445859872612,123.14285714285714,0.51578045,0.633138503
08104f366,141,23.5,1.3404255319148937,7.38,6,8.9,823,13.2,73.0,5.836879432624113,137.16666666666666,0.474054569,-1.394485086
2df8a90eb,173,28.833333333333332,1.300578034682081,6.87,6,9.4,915,11.2,71.78,5.289017341040463,152.5,0.503310325,-0.146083426
fc36fd8ff,175,35.0,1.2685714285714285,7.88,5,22.5,937,28.3,37.68,5.354285714285714,187.4,0.44936356200000005,-1.314628766
060e33d14,169,16.9,1.3254437869822486,7.02,10,8.0,937,10.6,75.44,5.544378698224852,93.7,0.492639527,-1.4137438830000002
aa6f9e224,172,21.5,1.1627906976744187,6.26,8,7.0,909,9.6,83.49,5.284883720930233,113.625,0.495426627,-0.479830828
4d5b83eba,164,13.666666666666666,1.1585365853658536,1.32,12,4.4,832,5.2,90.19,5.073170731707317,69.33333333333333,0.482963505,0.404633391
918a52c5a,163,23.285714285714285,1.1411042944785277,7.02,7,13.3,848,18.9,72.36,5.2024539877300615,121.14285714285714,0.452621482,-0.952123031
83e4f4031,198,19.8,1.292929292929293,6.7,10,9.4,1060,11.5,71.68,5.353535353535354,106.0,0.470510397,-1.053897658
c8ff70806,147,24.5,1.3945578231292517,7.57,6,12.4,802,14.3,58.55,5.45578231292517,133.66666666666666,0.510076717,0.022597727
bdd8488dd,145,16.11111111111111,1.2206896551724138,5.53,9,6.6,778,9.6,84.3,5.36551724137931,86.44444444444444,0.481322996,-0.47370199399999996
4b7a4b258,152,13.818181818181818,1.1578947368421053,5.41,11,5.2,774,6.4,88.16,5.092105263157895,70.36363636363636,0.530621694,0.610318885
0cc4c4124,193,19.3,1.1295336787564767,2.17,10,9.9,965,13.6,81.09,5.0,96.5,0.44363051299999995,-0.041920097999999996
b8445380e,185,13.214285714285714,1.1027027027027028,1.36,14,5.4,941,8.2,92.87,5.0864864864864865,67.21428571428571,0.528575904,0.8579268320000001
8cc328cc3,149,18.625,1.1476510067114094,1.56,8,4.6,760,7.2,94.9,5.100671140939597,95.0,0.464429805,-1.292569679
ee2908eeb,153,11.76923076923077,1.1633986928104576,1.46,13,5.2,767,6.0,88.06,5.0130718954248366,59.0,0.48422207,-0.13489299400000002
4835579c1,156,22.285714285714285,1.1538461538461537,2.26,7,10.7,796,13.6,73.65,5.102564102564102,113.71428571428571,0.46268703200000005,-0.13037452900000002
860580bf0,146,13.272727272727273,1.0684931506849316,1.13,11,3.7,701,4.7,97.33,4.801369863013699,63.72727272727273,0.509473387,0.394615951
e355dc94d,184,16.727272727272727,1.1956521739130435,5.49,11,5.7,959,7.6,86.64,5.211956521739131,87.18181818181819,0.514747948,-1.059970759
7017e31a7,185,18.5,1.2756756756756757,6.18,10,7.0,1007,8.8,78.08,5.443243243243243,100.7,0.468367926,-0.58635946
2dc93434f,147,11.307692307692308,1.3333333333333333,7.05,13,5.5,820,7.5,81.93,5.578231292517007,63.07692307692308,0.545728753,-1.9264220490000001
e97e914c6,163,18.11111111111111,1.165644171779141,5.41,9,5.6,850,7.5,86.94,5.214723926380368,94.44444444444444,0.47274442,0.277144328
12da06b54,197,24.625,1.4213197969543148,6.94,8,10.5,1101,12.6,63.43,5.588832487309645,137.625,0.47608218,-0.998571415
90f7894fc,157,22.428571428571427,1.2738853503184713,7.05,7,10.0,832,12.0,70.26,5.2993630573248405,118.85714285714286,0.474240771,-1.014199763
086a01dde,144,24.0,1.3402777777777777,9.95,6,27.8,820,36.8,23.78,5.694444444444445,136.66666666666666,0.45970988700000004,-0.7466154209999999
e894309c3,184,26.285714285714285,1.1793478260869565,2.12,7,10.5,910,12.5,74.15,4.945652173913044,130.0,0.46257156899999996,-0.462051139
e25d16cf4,174,19.333333333333332,1.3735632183908046,6.77,9,8.5,957,9.5,68.81,5.5,106.33333333333333,0.49547408600000004,-0.503614479
e492c3e0a,145,24.166666666666668,1.4275862068965517,8.45,6,12.2,845,15.9,58.96,5.827586206896552,140.83333333333334,0.502372489,-0.371471833
59d87380b,182,18.2,1.3956043956043955,7.8,10,9.8,1059,12.7,65.25,5.818681318681318,105.9,0.467809342,-1.621394692
fa84dbf46,155,17.22222222222222,1.2838709677419355,6.77,9,8.4,868,11.4,74.42,5.6,96.44444444444444,0.49926706200000004,0.08814816
97376dd89,177,16.09090909090909,1.2090395480225988,5.68,11,6.3,911,8.0,85.32,5.146892655367232,82.81818181818181,0.465672956,-0.017160917
3941a0775,159,22.714285714285715,1.251572327044025,6.45,7,8.6,851,10.5,73.81,5.352201257861635,121.57142857142857,0.475845379,-1.170766776
419a460ef,193,16.083333333333332,1.1865284974093264,5.49,12,5.4,1005,7.2,87.55,5.2072538860103625,83.75,0.462096006,-0.209570237
1c5eaf24e,194,64.66666666666667,1.3144329896907216,8.47,3,25.0,1077,32.4,31.18,5.551546391752577,359.0,0.533949321,-1.857994444
741b12820,190,31.666666666666668,1.1842105263157894,6.21,6,10.9,934,12.9,73.14,4.91578947368421,155.66666666666666,0.45912047899999997,-0.715517237
939541b15,159,53.0,1.1949685534591195,7.46,3,19.2,838,25.2,51.52,5.270440251572327,279.3333333333333,0.460134705,-1.156364261
a925cdb49,189,37.8,1.2222222222222223,7.15,5,17.0,947,21.1,57.31,5.01058201058201,189.4,0.461071654,-0.542735004
b6f05e0c2,177,44.25,1.1807909604519775,6.73,4,15.8,887,19.6,60.35,5.011299435028248,221.75,0.495153474,-0.013470524
bebf505e3,166,41.5,1.216867469879518,6.65,4,14.8,871,19.3,63.19,5.246987951807229,217.75,0.50735277,-0.7321486229999999
b5d69a031,191,23.875,1.2460732984293195,5.98,8,7.9,1012,10.8,81.06,5.298429319371728,126.5,0.51857214,-0.609884124
3411fc5bb,154,12.833333333333334,1.2402597402597402,5.96,12,7.2,852,11.1,82.99,5.532467532467533,71.0,0.5519083570000001,1.039927275
0f1656963,178,22.25,1.4662921348314606,7.85,8,10.8,1068,13.3,57.3,6.0,133.5,0.502888476,-1.742983825
fd1213183,164,18.22222222222222,1.2560975609756098,6.34,9,8.9,885,11.1,73.1,5.396341463414634,98.33333333333333,0.462365615,-0.377746885
61d943954,192,11.294117647058824,1.2135416666666667,6.47,17,7.9,1078,12.5,80.96,5.614583333333333,63.411764705882355,0.481677464,-0.286843482
a7b02232a,188,20.88888888888889,1.202127659574468,6.85,9,13.2,1025,18.5,67.15,5.452127659574468,113.88888888888889,0.459284246,-0.8839095920000001
c8248450c,183,14.076923076923077,1.3333333333333333,7.78,13,14.0,1075,20.0,59.71,5.8743169398907105,82.6923076923077,0.458065911,-1.570217995
6e7e7ea91,195,32.5,1.2615384615384615,7.43,6,18.8,1052,23.7,47.32,5.394871794871795,175.33333333333334,0.474456482,-1.9681000780000002
0060c36b9,192,27.428571428571427,1.3177083333333333,6.83,7,8.1,1070,10.8,75.24,5.572916666666667,152.85714285714286,0.492383619,-1.333456479
9e69a612d,165,15.0,1.1575757575757575,5.62,11,6.6,826,7.9,84.41,5.006060606060606,75.0909090909091,0.493302077,0.009684340999999999
08aa1ae28,172,15.636363636363637,1.377906976744186,6.61,11,7.0,989,8.8,72.56,5.75,89.9090909090909,0.48085080399999997,-0.506932291
cd96e48f5,178,19.77777777777778,1.3370786516853932,7.4,9,8.4,990,11.3,74.22,5.561797752808989,110.0,0.48550900399999997,-0.605646629
cf3189919,158,17.555555555555557,1.259493670886076,6.01,9,6.6,842,7.8,78.99,5.329113924050633,93.55555555555556,0.455795089,-0.849038856
f0f26aafc,173,28.833333333333332,1.3872832369942196,7.44,6,12.2,974,14.8,59.16,5.630057803468208,162.33333333333334,0.497874903,0.288984342
526455fc3,162,27.0,1.3641975308641976,6.83,6,11.5,911,13.9,60.99,5.6234567901234565,151.83333333333334,0.503284709,-1.1020824759999999
89bc2974e,174,29.0,1.264367816091954,6.25,6,11.1,893,12.6,67.42,5.132183908045977,148.83333333333334,0.46371036,-0.7628050670000001
5a14e5c1b,178,17.8,1.1853932584269662,6.05,10,8.5,921,11.1,79.53,5.174157303370786,92.1,0.48007482,-0.416734159
b533bc27e,170,24.285714285714285,1.4411764705882353,7.92,7,8.3,1003,11.2,69.21,5.9,143.28571428571428,0.46201921100000004,-1.515342423
a38c47dc1,178,29.666666666666668,1.3314606741573034,10.45,6,34.5,1025,45.5,6.52,5.758426966292135,170.83333333333334,0.48342410700000005,-1.378839273
a1940242f,163,18.11111111111111,1.2699386503067485,7.02,9,10.4,884,13.1,69.25,5.423312883435583,98.22222222222223,0.46007150399999996,-0.684945065
cb682b5d0,141,28.2,1.2836879432624113,8.21,5,18.1,788,23.8,49.15,5.588652482269503,157.6,0.488589361,-0.477948265
74498048f,156,26.0,1.3076923076923077,7.31,6,11.9,848,15.2,65.19,5.435897435897436,141.33333333333334,0.46322469200000005,-0.508062794
b1bf8bb2d,156,31.2,1.391025641025641,6.9,5,13.1,847,15.1,56.73,5.42948717948718,169.4,0.491325081,-0.525784067
c9ffcb15b,166,41.5,1.3012048192771084,7.6,4,15.9,933,21.1,54.73,5.620481927710843,233.25,0.500263759,-1.221284385
b0eab5ef8,176,16.0,1.25,6.14,11,9.5,933,11.4,71.38,5.301136363636363,84.81818181818181,0.468612795,-1.2400808779999999
06ce84c6d,176,19.555555555555557,1.2215909090909092,5.69,9,6.2,910,8.1,85.42,5.170454545454546,101.11111111111111,0.459438911,-0.098809527
5accb45d5,161,26.833333333333332,1.279503105590062,7.12,6,10.2,890,13.4,69.65,5.527950310559007,148.33333333333334,0.487871234,-0.8676088359999999
7f947f364,158,31.6,1.3734177215189873,7.8,5,13.3,882,16.0,56.32,5.582278481012659,176.4,0.474315584,-0.703780283
5813050e4,190,38.0,1.3105263157894738,7.62,5,12.1,1028,15.2,64.68,5.410526315789474,205.6,0.498372665,-1.56314024
4e62e645b,191,21.22222222222222,1.418848167539267,7.72,9,10.3,1078,12.4,64.14,5.643979057591623,119.77777777777777,0.496707344,-1.696766222
92de89438,180,16.363636363636363,1.2333333333333334,5.94,11,5.0,948,6.9,88.67,5.266666666666667,86.18181818181819,0.471847323,-1.6221317690000001
6eb22333a,188,18.8,1.324468085106383,6.67,10,7.1,1006,8.5,77.77,5.351063829787234,100.6,0.44481065399999997,-0.607166564
8de3a8dd8,152,16.88888888888889,1.263157894736842,7.07,9,7.2,807,8.4,77.57,5.309210526315789,89.66666666666667,0.49811214600000003,-1.137032552
d8c5b6ac8,159,31.8,1.20125786163522,1.97,5,11.0,808,13.7,73.04,5.081761006289308,161.6,0.49740385,0.061007467999999995
9156a494a,177,17.7,1.1807909604519775,5.77,10,6.3,976,9.7,85.32,5.5141242937853105,97.6,0.470526968,0.18208168800000002
da2dbbc70,141,70.5,1.198581560283688,9.15,2,26.1,738,33.8,33.76,5.23404255319149,369.0,0.465811698,-0.811519925
669c8bb53,172,21.5,1.25,6.6,8,9.3,884,10.4,71.89,5.1395348837209305,110.5,0.521496877,-1.972670519
cbbd1d214,140,17.5,1.3214285714285714,7.34,8,7.6,789,10.5,76.56,5.635714285714286,98.625,0.456798741,-1.8206428140000002
c337534cd,169,18.77777777777778,1.2603550295857988,6.62,9,7.1,874,7.6,77.77,5.171597633136095,97.11111111111111,0.469706475,-0.760367894
ad1ad157a,164,18.22222222222222,1.2682926829268293,5.69,9,6.8,884,8.4,78.38,5.390243902439025,98.22222222222223,0.46242697,-1.00707269
15df7f4ab,141,14.1,1.2269503546099292,6.53,10,5.4,753,7.9,87.45,5.340425531914893,75.3,0.49304027100000003,-1.289408299
60f36e48c,144,28.8,1.3194444444444444,6.38,5,11.0,751,12.8,67.62,5.215277777777778,150.2,0.47750847399999996,-1.236415384
436ce79fe,142,23.666666666666668,1.1690140845070423,6.98,6,17.0,770,23.2,57.31,5.422535211267606,128.33333333333334,0.0,0.0
8f576a796,176,29.333333333333332,1.2215909090909092,6.44,6,10.0,916,13.1,75.58,5.204545454545454,152.66666666666666,0.45621160200000005,-0.708095165
1b2275a6b,148,49.333333333333336,1.1689189189189189,7.26,3,17.8,776,23.3,55.28,5.243243243243243,258.6666666666667,0.499529454,-0.25410312399999996
e39b68366,148,29.6,1.25,6.49,5,11.3,800,14.1,66.81,5.405405405405405,160.0,0.536822821,0.270832416
80035934c,151,16.77777777777778,1.1655629139072847,5.65,9,7.0,773,8.9,83.39,5.119205298013245,85.88888888888889,0.487883171,-0.282044397
3a25b6fbc,174,21.75,1.1206896551724137,5.63,8,5.9,907,9.4,91.65,5.212643678160919,113.375,0.46100390700000005,-1.642969499
46a13c6ea,167,16.7,1.1736526946107784,1.58,10,5.8,874,7.9,86.44,5.233532934131737,87.4,0.517524294,-1.937949286
79b580b77,149,14.9,1.2348993288590604,5.54,10,4.4,841,8.1,90.19,5.644295302013423,84.1,0.47199989,-0.216514978
